0 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 
1 0.104771 0.484456 0.104771 0.484456 1.000000 1.484456 
2 0.444985 0.030071 0.444985 0.030071 2.000000 1.030071 
3 0.112257 0.416690 0.112257 0.416690 3.000000 1.416690 
4 0.153528 0.677134 0.153528 0.677134 4.000000 1.677134 
5 0.174426 0.656796 0.174426 0.656796 5.000000 1.656796 
6 0.988828 0.678786 0.988828 0.678786 6.000000 1.678786 
7 0.051969 0.197945 0.051969 0.197945 7.000000 1.197945 
8 0.454431 0.162467 0.454431 0.162467 8.000000 1.162467 
9 0.662841 0.976049 0.662841 0.976049 9.000000 1.976049 
10 0.187615 0.581370 0.187615 0.581370 10.000000 1.581370 
