col1-time col2-mc1.timer col3-mc1.semaphore col4-mc1.color 
0.000000 99.000000 0 0 
1.000000 98.000000 0 0 
2.000000 97.000000 0 0 
3.000000 96.000000 0 0 
4.000000 95.000000 0 0 
5.000000 94.000000 0 0 
6.000000 93.000000 0 0 
7.000000 92.000000 0 0 
8.000000 91.000000 0 0 
9.000000 90.000000 0 0 
10.000000 89.000000 0 0 
11.000000 88.000000 0 0 
12.000000 87.000000 0 0 
13.000000 86.000000 0 0 
14.000000 85.000000 0 0 
15.000000 84.000000 0 0 
16.000000 83.000000 0 0 
17.000000 82.000000 0 0 
18.000000 81.000000 0 0 
19.000000 80.000000 0 0 
20.000000 79.000000 0 0 
21.000000 78.000000 0 0 
22.000000 77.000000 0 0 
23.000000 76.000000 0 0 
24.000000 75.000000 0 0 
25.000000 74.000000 0 0 
26.000000 73.000000 0 0 
27.000000 72.000000 0 0 
28.000000 71.000000 0 0 
29.000000 70.000000 0 0 
30.000000 69.000000 0 0 
31.000000 68.000000 0 0 
32.000000 67.000000 0 0 
33.000000 66.000000 0 0 
34.000000 65.000000 0 0 
35.000000 64.000000 0 0 
36.000000 63.000000 0 0 
37.000000 62.000000 0 0 
38.000000 61.000000 0 0 
39.000000 60.000000 0 0 
40.000000 59.000000 0 0 
41.000000 58.000000 0 0 
42.000000 57.000000 0 0 
43.000000 56.000000 0 0 
44.000000 55.000000 0 0 
45.000000 54.000000 0 0 
46.000000 53.000000 0 0 
47.000000 52.000000 0 0 
48.000000 51.000000 0 0 
49.000000 50.000000 0 0 
50.000000 49.000000 0 0 
51.000000 48.000000 0 0 
52.000000 47.000000 0 0 
53.000000 46.000000 0 0 
54.000000 45.000000 0 0 
55.000000 44.000000 0 0 
56.000000 43.000000 0 0 
57.000000 42.000000 0 0 
58.000000 41.000000 0 0 
59.000000 40.000000 0 0 
60.000000 39.000000 0 0 
61.000000 38.000000 0 0 
62.000000 37.000000 0 0 
63.000000 36.000000 0 0 
64.000000 35.000000 0 0 
65.000000 34.000000 0 0 
66.000000 33.000000 0 0 
67.000000 32.000000 0 0 
68.000000 31.000000 0 0 
69.000000 30.000000 0 0 
70.000000 29.000000 0 0 
71.000000 28.000000 0 0 
72.000000 27.000000 0 0 
73.000000 26.000000 0 0 
74.000000 25.000000 0 0 
75.000000 24.000000 0 0 
76.000000 23.000000 0 0 
77.000000 22.000000 0 0 
78.000000 21.000000 0 0 
79.000000 20.000000 0 0 
80.000000 19.000000 0 0 
81.000000 18.000000 0 0 
82.000000 17.000000 0 0 
83.000000 16.000000 0 0 
84.000000 15.000000 0 0 
85.000000 14.000000 0 0 
86.000000 13.000000 0 0 
87.000000 12.000000 0 0 
88.000000 11.000000 0 0 
89.000000 10.000000 0 0 
90.000000 9.000000 0 0 
91.000000 8.000000 0 0 
92.000000 7.000000 0 0 
93.000000 6.000000 0 0 
94.000000 5.000000 0 0 
95.000000 4.000000 0 0 
96.000000 3.000000 0 0 
97.000000 2.000000 0 0 
98.000000 1.000000 0 0 
99.000000 0.000000 0 0 
100.000000 49.000000 1 1 
101.000000 48.000000 1 1 
102.000000 47.000000 1 1 
103.000000 46.000000 1 1 
104.000000 45.000000 1 1 
105.000000 44.000000 1 1 
106.000000 43.000000 1 1 
107.000000 42.000000 1 1 
108.000000 41.000000 1 1 
109.000000 40.000000 1 1 
110.000000 39.000000 1 1 
