0 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 
1 0.314640 0.820266 0.314640 0.820266 1.000000 1.820266 
2 0.169139 0.661646 0.169139 0.661646 2.000000 1.661646 
3 0.305342 0.475833 0.305342 0.475833 3.000000 1.475833 
4 0.011696 0.635740 0.011696 0.635740 4.000000 1.635740 
5 0.362586 0.639859 0.362586 0.639859 5.000000 1.639859 
6 0.515567 0.839035 0.515567 0.839035 6.000000 1.839035 
7 0.852476 0.503937 0.852476 0.503937 7.000000 1.503937 
8 0.855748 0.295348 0.855748 0.295348 8.000000 1.295348 
9 0.699719 0.534817 0.699719 0.534817 9.000000 1.534817 
10 0.941971 0.943577 0.941971 0.943577 10.000000 1.943577 
