0 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 
1 0.840655 0.844015 0.840655 0.844015 1.000000 1.844015 
2 0.024913 0.417349 0.024913 0.417349 2.000000 1.417349 
3 0.098726 0.473086 0.098726 0.473086 3.000000 1.473086 
4 0.550265 0.980913 0.550265 0.980913 4.000000 1.980913 
5 0.729865 0.650417 0.729865 0.650417 5.000000 1.650417 
6 0.608209 0.029231 0.608209 0.029231 6.000000 1.029231 
7 0.068417 0.568636 0.068417 0.568636 7.000000 1.568636 
8 0.608641 0.321478 0.608641 0.321478 8.000000 1.321478 
9 0.780596 0.495752 0.780596 0.495752 9.000000 1.495752 
10 0.820973 0.055783 0.820973 0.055783 10.000000 1.055783 
